address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
NW 77th St,Seattle,WA,98117,NA,1640.0,3.0,2.0,131,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/129570750_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
11th Ave NW,Seattle,WA,98117,NA,1560.0,2.0,1.5,417,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/163479374_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
NW 86TH St,SEATTLE,WA,98117,NA,1700.0,3.0,1.5,13,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/245225126_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
NW 89TH St,SEATTLE,WA,98117,NA,2070.0,3.0,1.0,84,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/244339141_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
3RD Ave NW,SEATTLE,WA,98117,NA,1920.0,4.0,1.5,12,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/245246679_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
22nd Ave NW,Seattle,WA,98117,NA,1550.0,3.0,1.0,623,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/163479222_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
19th Ave NW,Seattle,WA,98117,NA,1320.0,2.0,1.0,120,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/243330076_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
11th Ave NW,Seattle,WA,98117,NA,1560.0,2.0,1.5,417,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/163479374_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
9th Ave NW,Seattle,WA,98117,NA,1990.0,4.0,1.0,670,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/163434636_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
24th Ave NW,Seattle,WA,98117,NA,2040.0,5.0,3.5,658,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/163479223_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1514 NE 68TH St,SEATTLE,WA,98115,675000,1360.0,3.0,2.0,1,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1514-NE-68TH-St-Seattle-WA-98115/49143189_zpid/
9220 45TH Ave NE,SEATTLE,WA,98115,949950,2850.0,4.0,2.0,1,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/9220-45TH-Ave-NE-Seattle-WA-98115/48952957_zpid/
7309 Sand Point Way NE # B727,SEATTLE,WA,98115,310000,1032.0,1.0,1.0,3,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/7309-Sand-Point-Way-NE-B727-Seattle-WA-98115/68478631_zpid/
6216 53RD Ave NE,SEATTLE,WA,98115,950000,3030.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6216-53RD-Ave-NE-Seattle-WA-98115/48848475_zpid/
