address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,schools
11931 Barrentine Loop,Parker,CO,80138,392090,2860.0,2.0,2.0,100,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/11931-Barrentine-Loop-Parker-CO-80138/2092090409_zpid/,NA
11786 Barrentine Loop,Parker,CO,80138,401230,2860.0,2.0,2.0,59,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/11786-Barrentine-Loop-Parker-CO-80138/2091716098_zpid/,NA
7374 Inspiration Dr,PARKER,CO,80138,1750000,4573.0,4.0,4.0,147,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/7374-Inspiration-Dr-Parker-CO-80138/13466292_zpid/,NA
8238 Merryvale Trl,Parker,CO,80138,1126108,6857.0,3.0,4.0,37,New Construction,http://www.zillow.com/homes/for_sale//homedetails/8238-Merryvale-Trl-Parker-CO-80138/2091515944_zpid/,NA
11798 Barrentine Loop,Parker,CO,80138,446315,2860.0,2.0,2.0,59,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/11798-Barrentine-Loop-Parker-CO-80138/2091716095_zpid/,NA
11912 Barrentine Loop,Parker,CO,80138,433560,2860.0,2.0,2.0,100,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/11912-Barrentine-Loop-Parker-CO-80138/2092090408_zpid/,NA
11917 Barrentine Loop,Parker,CO,80138,430220,2860.0,2.0,2.0,100,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/11917-Barrentine-Loop-Parker-CO-80138/2092090410_zpid/,NA
47397 Conifer Cir,PARKER,CO,80138,1850000,7725.0,4.0,6.0,312,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/47397-Conifer-Cir-Parker-CO-80138/82020199_zpid/,NA
10243 Inspiration Dr,Parker,CO,80138,249900,NA,NA,NA,198,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/10243-Inspiration-Dr-Parker-CO-80138/2105080692_zpid/,NA
23855 E Rocky Top Pl,Parker,CO,80138,514990,4011.0,3.0,2.0,257,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/23855-E-Rocky-Top-Pl-Parker-CO-80138/108395993_zpid/,NA
8860 S Duquesne Ct,Parker,CO,80138,599990,3062.0,3.0,3.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/8860-S-Duquesne-Ct-Parker-CO-80138/108391846_zpid/,NA
11792 Barrentine Loop,Parker,CO,80138,458525,2987.0,2.0,2.0,59,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/11792-Barrentine-Loop-Parker-CO-80138/2091716097_zpid/,NA
11921 Barrentine Loop,Parker,CO,80138,430290,2987.0,2.0,2.0,51,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/11921-Barrentine-Loop-Parker-CO-80138/2091669371_zpid/,NA
23957 E Rocky Top Ave,Parker,CO,80138,549990,2584.0,3.0,3.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/23957-E-Rocky-Top-Ave-Parker-CO-80138/108400742_zpid/,NA
8850 S Duquesne Ct,Parker,CO,80138,564749,2584.0,3.0,3.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/8850-S-Duquesne-Ct-Parker-CO-80138/108379502_zpid/,NA
23835 E Rocky Top Pl,Parker,CO,80138,524990,3352.0,3.0,3.0,269,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/23835-E-Rocky-Top-Pl-Parker-CO-80138/108389906_zpid/,NA
22295 Boundstone St,Parker,CO,80138,869995,4200.0,4.0,4.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/22295-Boundstone-St-Parker-CO-80138/2097221596_zpid/,NA
E Parker Rd,Parker,CO,80138,849900,NA,NA,NA,273,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/E-Parker-Rd-Parker-CO-80138/2094161502_zpid/,NA
00 N Delbert Rd,Parker,CO,80138,625000,NA,NA,NA,123,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/00-N-Delbert-Rd-Parker-CO-80138/2092359181_zpid/,NA
7688 Two Rivers Cir,PARKER,CO,80138,255000,NA,NA,NA,139,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/7688-Two-Rivers-Cir-Parker-CO-80138/108394735_zpid/,NA
23875 E Rocky Top Pl,Parker,CO,80138,539990,3579.0,4.0,4.0,257,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/23875-E-Rocky-Top-Pl-Parker-CO-80138/108383881_zpid/,NA
23837 E Rocky Top Ave,Parker,CO,80138,556137,2772.0,3.0,3.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/23837-E-Rocky-Top-Ave-Parker-CO-80138/108381933_zpid/,NA
Unknown # 83MGHA,Parker,CO,80138,474950,2556.0,4.0,2.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2096111924_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
8351 Merryvale Trl,Parker,CO,80138,1098958,5404.0,3.0,3.0,37,New Construction,http://www.zillow.com/homes/for_sale//homedetails/8351-Merryvale-Trl-Parker-CO-80138/2091516991_zpid/,NA
11832 Discovery Cir,PARKER,CO,80138,799995,3500.0,4.0,4.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/11832-Discovery-Cir-Parker-CO-80138/123453114_zpid/,NA
00015 Shadow Pines Rd,Parker,CO,80138,365000,NA,NA,NA,152,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/00015-Shadow-Pines-Rd-Parker-CO-80138/2092665079_zpid/,NA
Unknown # 3IW764,Parker,CO,80138,557950,4112.0,5.0,4.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2098950697_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
23877 E Rocky Top Ave,Parker,CO,80138,571032,2781.0,4.0,4.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/23877-E-Rocky-Top-Ave-Parker-CO-80138/108387134_zpid/,NA
23977 E Rocky Top Ave,Parker,CO,80138,579990,2772.0,3.0,3.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/23977-E-Rocky-Top-Ave-Parker-CO-80138/123056761_zpid/,NA
23917 E Rocky Top Ave,Parker,CO,80138,568065,2584.0,3.0,3.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/23917-E-Rocky-Top-Ave-Parker-CO-80138/108401013_zpid/,NA
10247 Inspiration Dr,Parker,CO,80138,379900,NA,NA,NA,139,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/10247-Inspiration-Dr-Parker-CO-80138/2092528554_zpid/,NA
Unknown # XOJJAZ,Parker,CO,80138,469950,1908.0,3.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2096111923_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
22274 Boundstone St,PARKER,CO,80138,694995,NA,NA,NA,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/22274-Boundstone-St-Parker-CO-80138/123456027_zpid/,NA
23815 E Rocky Top Pl,Parker,CO,80138,603911,4058.0,4.0,4.0,269,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/23815-E-Rocky-Top-Pl-Parker-CO-80138/108383258_zpid/,NA
10251 Inspiration Dr,Parker,CO,80138,389900,NA,NA,NA,139,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/10251-Inspiration-Dr-Parker-CO-80138/2092528431_zpid/,NA
10250 Inspiration Dr,Parker,CO,80138,389900,NA,NA,NA,139,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/10250-Inspiration-Dr-Parker-CO-80138/2092528427_zpid/,NA
10248 Inspiration Dr,Parker,CO,80138,379900,NA,NA,NA,139,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/10248-Inspiration-Dr-Parker-CO-80138/2092528555_zpid/,NA
10249 Inspiration Dr,Parker,CO,80138,379900,NA,NA,NA,139,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/10249-Inspiration-Dr-Parker-CO-80138/2092528560_zpid/,NA
Unknown # S2CRYC,Parker,CO,80138,469950,2244.0,3.0,2.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2098950698_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
10246 Inspiration Dr,Parker,CO,80138,349900,NA,NA,NA,139,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/10246-Inspiration-Dr-Parker-CO-80138/2092528557_zpid/,NA
10245 Inspiration Dr,Parker,CO,80138,279900,NA,NA,NA,198,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/10245-Inspiration-Dr-Parker-CO-80138/2093228460_zpid/,NA
10244 Inspiration Dr,Parker,CO,80138,249900,NA,NA,NA,198,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/10244-Inspiration-Dr-Parker-CO-80138/2093228602_zpid/,NA
Unknown # TOSUBG,Parker,CO,80138,488950,1958.0,2.0,2.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2098950692_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
21962 E Idyllwilde Dr # 9NDW42,Parker,CO,80138,522995,3007.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093851962_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
Wintergreen Way,PARKER,CO,80138,NA,2045.0,4.0,3.0,18,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/245247677_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
Furlong Ct,Parker,CO,80138,NA,1837.0,3.0,3.5,154,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/243092455_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
York Ave,Parker,CO,80138,NA,2642.0,4.0,4.0,40,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/245186445_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
Omaha Ave,Parker,CO,80138,NA,2248.0,3.0,3.5,27,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/245186435_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
Quail Run Way,Parker,CO,80138,NA,2708.0,4.0,3.0,24,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/245186434_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
E Shefield Ct,Parker,CO,80138,NA,2100.0,3.0,3.0,75,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/245186409_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
Tumbleweed Way,Parker,CO,80138,NA,1387.0,3.0,2.5,150,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/243157647_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
Furlong Ct,Parker,CO,80138,NA,1837.0,3.0,3.5,154,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/243092455_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
Tumbleweed Way,Parker,CO,80138,NA,1387.0,3.0,2.5,150,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/243157647_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
