address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
455 SW Hamilton Ct STE 603,Portland,OR,97239,2349000,5512.0,3.0,4.0,322,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/455-SW-Hamilton-Ct-STE-603-Portland-OR-97239/58474507_zpid/
3528 SW Gale Ave,Portland,OR,97239,2250000,4805.0,4.0,5.0,141,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3528-SW-Gale-Ave-Portland-OR-97239/53862084_zpid/
4131 SW View Point Ter,Portland,OR,97239,960000,4847.0,4.0,5.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/4131-SW-View-Point-Ter-Portland-OR-97239/53936297_zpid/
920 SW Cheltenham St,Portland,OR,97239,197500,7840.0,NA,NA,84,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/920-SW-Cheltenham-St-Portland-OR-97239/53831953_zpid/
6179 SW 18th Dr # 6,Portland,OR,97239,525000,1369.0,3.0,4.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/6179-SW-18th-Dr-6-Portland-OR-97239/2091833420_zpid/
0239 Sw Hamilton St,Portland or,OR,97239,759900,1928.0,3.0,1.0,315,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/0239-Sw-Hamilton-St-Portland-Or-OR-97239/2094658899_zpid/
1059 SW Westwood Dr,Portland,OR,97239,1495000,4731.0,4.0,5.0,105,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1059-SW-Westwood-Dr-Portland-OR-97239/53967905_zpid/
3146 SW Fairmount Blvd,Portland,OR,97239,1600000,5188.0,5.0,5.0,538,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/3146-SW-Fairmount-Blvd-Portland-OR-97239/68011372_zpid/
3058 SW Fairmount Blvd,Portland,OR,97239,1599000,5245.0,4.0,5.0,130,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3058-SW-Fairmount-Blvd-Portland-OR-97239/53998341_zpid/
1818 SW Iowa St # 1,Portland,OR,97239,515000,1419.0,3.0,4.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/1818-SW-Iowa-St-1-Portland-OR-97239/2091833972_zpid/
1802 SW Iowa St # 5,Portland,OR,97239,515000,1419.0,3.0,4.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/1802-SW-Iowa-St-5-Portland-OR-97239/2091833417_zpid/
455 SW Hamilton Ct STE 602,Portland,OR,97239,1699000,3017.0,2.0,3.0,39,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/455-SW-Hamilton-Ct-STE-602-Portland-OR-97239/58474506_zpid/
1810 SW Iowa St # 3,Portland,OR,97239,485000,1419.0,3.0,4.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/1810-SW-Iowa-St-3-Portland-OR-97239/2091833418_zpid/
6171 SW 18th Dr # 7,Portland,OR,97239,485000,1369.0,3.0,4.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/6171-SW-18th-Dr-7-Portland-OR-97239/2091833913_zpid/
6163 SW 18th Dr # 8,Portland,OR,97239,485000,1369.0,3.0,4.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/6163-SW-18th-Dr-8-Portland-OR-97239/2091833911_zpid/
6155 SW 18th Dr # 9,Portland,OR,97239,515000,1369.0,3.0,4.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/6155-SW-18th-Dr-9-Portland-OR-97239/2091833971_zpid/
4449 SW Council Crest Dr,Portland,OR,97239,1499000,8600.0,6.0,8.0,263,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4449-SW-Council-Crest-Dr-Portland-OR-97239/53998315_zpid/
1814 SW Iowa St # 2,Portland,OR,97239,485000,1419.0,3.0,4.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/1814-SW-Iowa-St-2-Portland-OR-97239/2091833973_zpid/
SW Dosch Rd,Portland,OR,97239,NA,2222.0,3.0,2.0,116,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/243444737_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
SW Parkhill Dr,Portland,OR,97239,NA,2579.0,2.0,4.0,113,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/243498798_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
SW Corbett Ave,Portland,OR,97239,NA,1018.0,2.0,1.0,158,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/218038282_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
SW 13th Ave,Portland,OR,97239,NA,1256.0,2.0,1.5,113,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/240020600_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
10001 SW Riverside Dr,Portland,OR,97219,1089600,4986.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/10001-SW-Riverside-Dr-Portland-OR-97219/54000001_zpid/
4210 SW Pomona St,Portland,OR,97219,379900,1815.0,2.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4210-SW-Pomona-St-Portland-OR-97219/53982629_zpid/
9506 SW 3rd Ave,Portland,OR,97219,399000,1270.0,3.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/9506-SW-3rd-Ave-Portland-OR-97219/53844093_zpid/
800 SW Canby St,Portland,OR,97219,500000,2109.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/800-SW-Canby-St-Portland-OR-97219/53831588_zpid/
13150 SW Iron Mountain Blvd,Portland,OR,97219,4750000,6923.0,4.0,6.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/13150-SW-Iron-Mountain-Blvd-Portland-OR-97219/48223812_zpid/
7937 SW 40th Ave APT H,Portland,OR,97219,159900,685.0,1.0,1.0,1,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/7937-SW-40th-Ave-APT-H-Portland-OR-97219/68353538_zpid/
1287 SW Ophelia St,Portland,OR,97219,914900,3135.0,4.0,3.0,1,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1287-SW-Ophelia-St-Portland-OR-97219/119258066_zpid/
7937 SW 40th Ave,Portland,OR,97219,159900,685.0,1.0,1.0,1,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/7937-SW-40th-Ave-Portland-OR-97219/2106557220_zpid/
13623 SW 64th Ave,Portland,OR,97219,325000,1120.0,3.0,2.0,1,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/13623-SW-64th-Ave-Portland-OR-97219/48227051_zpid/
4684 SW Comus Pl,Portland,OR,97219,135000,1058.0,2.0,2.0,9,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/4684-SW-Comus-Pl-Portland-OR-97219/2100876774_zpid/
SW Arnold St,PORTLAND,OR,97219,150000,7500.0,NA,NA,4,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/SW-Arnold-St-Portland-OR-97219/119259815_zpid/
9443 SW 52nd Ave,Portland,OR,97219,445000,1827.0,5.0,2.0,NA,Coming Soon,http://www.zillow.com/homes/for_sale//homedetails/9443-SW-52nd-Ave-Portland-OR-97219/53982228_zpid/
7111 SW 12th Dr,Portland,OR,97219,750000,3428.0,5.0,3.0,6,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/7111-SW-12th-Dr-Portland-OR-97219/53991314_zpid/
4415 SW Primrose St,Portland,OR,97219,525000,1689.0,4.0,3.0,4,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4415-SW-Primrose-St-Portland-OR-97219/53984741_zpid/
5111 SW Marigold St,Portland,OR,97219,450000,1597.0,3.0,2.0,10,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5111-SW-Marigold-St-Portland-OR-97219/53981965_zpid/
3543 SW Comus St,Portland,OR,97219,531000,2376.0,4.0,3.0,7,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/3543-SW-Comus-St-Portland-OR-97219/53889765_zpid/
4225 SW Arnold St,Portland,OR,97219,175000,7405.0,NA,NA,4,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/4225-SW-Arnold-St-Portland-OR-97219/119260466_zpid/
3405 SW Hume St,Portland,OR,97219,495000,8276.0,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/3405-SW-Hume-St-Portland-OR-97219/80939577_zpid/
12604 SW 60th Ct,Portland,OR,97219,749000,3829.0,4.0,3.0,NA,Coming Soon,http://www.zillow.com/homes/for_sale//homedetails/12604-SW-60th-Ct-Portland-OR-97219/53896541_zpid/
SW Buddington St # 32-34,Portland,OR,97219,35000,7405.0,NA,NA,22,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/SW-Buddington-St-32-34-Portland-OR-97219/2091312368_zpid/
5156 SW Multnomah Blvd APT I,Portland,OR,97219,168000,990.0,2.0,2.0,28,Auction,http://www.zillow.com/homes/for_sale//homedetails/5156-SW-Multnomah-Blvd-APT-I-Portland-OR-97219/53954466_zpid/
2531 SW Spring Garden St APT 17,Portland,OR,97219,269900,1173.0,3.0,2.0,21,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2531-SW-Spring-Garden-St-APT-17-Portland-OR-97219/72260362_zpid/
9134 SW 40th Ave,Portland,OR,97219,419900,2584.0,5.0,2.0,12,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/9134-SW-40th-Ave-Portland-OR-97219/54000178_zpid/
10046 SW 25th Ave,Portland,OR,97219,949900,2933.0,4.0,4.0,11,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/10046-SW-25th-Ave-Portland-OR-97219/124207509_zpid/
6650 SW 23rd Pl,Portland,OR,97219,430000,1632.0,3.0,3.0,10,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6650-SW-23rd-Pl-Portland-OR-97219/90192136_zpid/
10440 SW 25th Ave,Portland,OR,97219,599000,3360.0,4.0,3.0,NA,Coming Soon,http://www.zillow.com/homes/for_sale//homedetails/10440-SW-25th-Ave-Portland-OR-97219/53857072_zpid/
8360 SW 6th Ave,Portland,OR,97219,659000,2400.0,4.0,2.1,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/8360-SW-6th-Ave-Portland-OR-97219/2091245074_zpid/
11299 SW Capitol Hwy UNIT 1,Portland,OR,97219,357400,1503.0,3.0,3.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/11299-SW-Capitol-Hwy-UNIT-1-Portland-OR-97219/88962532_zpid/
5028 SW Baird St,Portland,OR,97219,385000,1516.0,2.0,2.0,21,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5028-SW-Baird-St-Portland-OR-97219/53982192_zpid/
743 SW Maplecrest Ct,Portland,OR,97219,849900,3090.0,3.0,3.0,11,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/743-SW-Maplecrest-Ct-Portland-OR-97219/53929798_zpid/
7624 SW Fulton Park Pl,Portland,OR,97219,585000,2265.0,3.0,3.0,10,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/7624-SW-Fulton-Park-Pl-Portland-OR-97219/53868349_zpid/
7430 SW 31st Ave,Portland,OR,97219,725000,2542.0,4.0,3.0,25,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/7430-SW-31st-Ave-Portland-OR-97219/53830878_zpid/
